DATE,WILLSMLCAP
2016-06-17,86563.99
2016-06-20,87541.29
2016-06-21,87356.48
2016-06-22,87005.54
2016-06-23,88667.26
2016-06-24,85261.73
2016-06-27,82507.65
2016-06-28,84094.01
2016-06-29,85846.97
2016-06-30,87318.77
2016-07-01,87714.11
2016-07-04,.
2016-07-05,86399.25
2016-07-06,86977.73
2016-07-07,87098.77
2016-07-08,89018.11
2016-07-11,89829.75
2016-07-12,90978.99
2016-07-13,90666.41
2016-07-14,90754.49
2016-07-15,90916.74
2016-07-18,91112.54
2016-07-19,90676.54
2016-07-20,91269.35
2016-07-21,90892.01
2016-07-22,91588.45
2016-07-25,91319.13
2016-07-26,91862.89
2016-07-27,91883.67
2016-07-28,91920.19
2016-07-29,92248.96
2016-08-01,92024.81
2016-08-02,90812.96
2016-08-03,91607.07
2016-08-04,91685.66
2016-08-05,92808.61
2016-08-08,92798.76
2016-08-09,92791.09
2016-08-10,92264.10
2016-08-11,92603.99
2016-08-12,92612.28
2016-08-15,93530.52
2016-08-16,92792.84
2016-08-17,92560.81
2016-08-18,93331.72
2016-08-19,93256.01
2016-08-22,93378.70
2016-08-23,93992.49
2016-08-24,93131.13
2016-08-25,93344.02
2016-08-26,93176.20
2016-08-29,93767.09
2016-08-30,93811.99
2016-08-31,93400.22
2016-09-01,93350.11
2016-09-02,94276.58
2016-09-05,.
2016-09-06,94405.14
2016-09-07,94982.12
2016-09-08,94770.93
2016-09-09,91835.08
2016-09-12,92973.34
2016-09-13,91103.95
2016-09-14,90939.42
2016-09-15,92018.55
2016-09-16,91800.44
2016-09-19,92371.28
2016-09-20,92029.05
2016-09-21,93354.59
2016-09-22,94658.22
2016-09-23,93974.89
2016-09-26,93155.27
2016-09-27,93358.24
2016-09-28,94239.88
2016-09-29,93097.97
2016-09-30,94013.22
2016-10-03,93569.19
2016-10-04,93073.99
2016-10-05,93707.62
2016-10-06,93599.78
2016-10-07,92913.12
2016-10-10,93851.55
2016-10-11,92255.41
2016-10-12,92306.98
2016-10-13,91650.63
2016-10-14,91367.02
2016-10-17,91212.69
2016-10-18,91766.81
2016-10-19,92161.11
2016-10-20,91900.27
2016-10-21,91763.02
2016-10-24,92263.78
2016-10-25,91496.80
2016-10-26,90794.26
2016-10-27,89834.22
2016-10-28,89669.53
2016-10-31,89991.05
2016-11-01,88997.60
2016-11-02,87957.85
2016-11-03,87648.05
2016-11-04,88079.95
2016-11-07,90121.95
2016-11-08,90365.70
2016-11-09,92863.73
2016-11-10,94078.90
2016-11-11,95883.05
2016-11-14,97277.18
2016-11-15,97712.56
2016-11-16,97568.00
2016-11-17,98052.45
2016-11-18,98383.30
2016-11-21,98955.76
2016-11-22,99877.50
2016-11-23,100444.93
2016-11-24,.
2016-11-25,100812.68
2016-11-28,99630.06
2016-11-29,99602.41
2016-11-30,99632.77
2016-12-01,99111.27
2016-12-02,99161.74
2016-12-05,100704.11
2016-12-06,101712.15
2016-12-07,102688.12
2016-12-08,104141.47
2016-12-09,104189.17
2016-12-12,103116.77
2016-12-13,103173.93
2016-12-14,101759.51
2016-12-15,102337.83
2016-12-16,102164.38
2016-12-19,102781.17
2016-12-20,103588.50
2016-12-21,103059.39
2016-12-22,102207.86
2016-12-23,102750.97
2016-12-26,.
2016-12-27,103160.50
2016-12-28,102041.52
2016-12-29,102228.52
2016-12-30,101817.27
2017-01-02,.
2017-01-03,102543.04
2017-01-04,104248.76
2017-01-05,103201.20
2017-01-06,102836.90
2017-01-09,102066.43
2017-01-10,102933.19
2017-01-11,103181.72
2017-01-12,102426.76
2017-01-13,103115.05
2017-01-16,.
2017-01-17,101925.97
2017-01-18,102382.13
2017-01-19,101478.75
2017-01-20,101922.20
2017-01-23,101665.95
2017-01-24,103195.87
2017-01-25,104127.65
2017-01-26,103755.40
2017-01-27,103323.36
2017-01-30,102020.57
2017-01-31,102597.94
2017-02-01,102425.28
2017-02-02,102272.14
2017-02-03,103717.51
2017-02-06,102956.34
2017-02-07,102535.12
2017-02-08,102455.40
2017-02-09,103785.09
2017-02-10,104474.48
2017-02-13,104729.11
2017-02-14,105083.50
2017-02-15,105534.60
2017-02-16,105259.03
2017-02-17,105296.50
2017-02-20,.
2017-02-21,105979.95
2017-02-22,105500.98
2017-02-23,104832.22
2017-02-24,104813.63
2017-02-27,105731.93
2017-02-28,104325.77
2017-03-01,106149.90
2017-03-02,104812.59
2017-03-03,104825.10
2017-03-06,104116.33
2017-03-07,103352.82
2017-03-08,102629.87
2017-03-09,102148.02
2017-03-10,102543.24
2017-03-13,102868.07
2017-03-14,102323.77
2017-03-15,103907.34
2017-03-16,104029.41
2017-03-17,104348.87
2017-03-20,103806.75
2017-03-21,101269.73
2017-03-22,101131.73
2017-03-23,101616.39
2017-03-24,101668.27
2017-03-27,101816.70
2017-03-28,102600.06
2017-03-29,103101.41
2017-03-30,103866.83
2017-03-31,104122.87
2017-04-03,103045.97
2017-04-04,103032.79
2017-04-05,101999.90
2017-04-06,102982.26
2017-04-07,102928.66
2017-04-10,103223.41
2017-04-11,103902.44
2017-04-12,102693.37
2017-04-13,101613.18
2017-04-14,.
2017-04-17,102775.95
2017-04-18,102803.16
2017-04-19,103068.01
2017-04-20,104208.60
2017-04-21,103924.59
2017-04-24,105075.77
2017-04-25,105990.95
2017-04-26,106450.53
2017-04-27,106277.23
2017-04-28,105141.30
2017-05-01,105579.66
2017-05-02,105184.68
2017-05-03,104563.63
2017-05-04,104242.14
2017-05-05,104986.15
2017-05-08,104571.81
2017-05-09,104452.26
2017-05-10,104979.60
2017-05-11,104357.47
2017-05-12,103774.82
2017-05-15,104540.18
2017-05-16,104466.92
2017-05-17,101945.70
2017-05-18,102237.84
2017-05-19,102876.52
2017-05-22,103575.19
2017-05-23,103772.80
2017-05-24,103885.27
2017-05-25,103835.66
2017-05-26,103738.33
2017-05-29,.
2017-05-30,102955.27
2017-05-31,102890.49
2017-06-01,104676.50
2017-06-02,105216.23
2017-06-05,104644.53
2017-06-06,104463.21
2017-06-07,104407.72
2017-06-08,105536.86
2017-06-09,106099.63
2017-06-12,106033.40
2017-06-13,106633.20
2017-06-14,106036.72
